Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,UT1,AA5,UT2,AA6,UT3,AA7,UT4,AA8
E9PN89,E9PN89,E9PN89_HUMAN,HSPA8,Heat shock cognate 71 kDa protein (Fragment),2.55E+06,1.92E+06,3.36E+06,2.14E+06,2.58E+06,2.38E+06,3.36E+06,1.81E+06
E9PRG8,E9PRG8;A0A494BXY3;E9PLD3,CK098_HUMAN,C11orf98,Uncharacterized protein C11orf98,6.07E+06,1.07E+07,7.99E+06,9.21E+06,5.01E+06,5.59E+06,5.74E+06,6.23E+06
F5GZQ4,F5GZQ4,F5GZQ4_HUMAN,LDHA,L-lactate dehydrogenase A chain (Fragment),1.46E+06,1.67E+06,1.47E+06,1.71E+06,1.29E+06,1.05E+06,1.88E+06,1.78E+06
F6RGN5,F6RGN5,F6RGN5_HUMAN,SLC25A10,Mitochondrial dicarboxylate carrier,1.44E+06,851661,,1.34E+06,1.56E+06,,1.04E+06,1.25E+06
F6SS63,F6SS63,F6SS63_HUMAN,TAB3,"TAK1-binding protein 3, isoform CRA_c",,,1.00E+06,,,,1.25E+06,
F8VRH0,F8VRH0,F8VRH0_HUMAN,PCBP2,Poly(rC)-binding protein 2 (Fragment),446985,571218,554218,994331,630329,637813,611049,925118
F8VZX2;H3BRU6,H3BRU6;F8VZX2,F8VZX2_HUMAN;H3BRU6_HUMAN,PCBP2,Poly(rC)-binding protein 2,8.32E+06,7.12E+06,8.38E+06,8.75E+06,9.54E+06,7.07E+06,8.90E+06,7.40E+06
F8W7C6,F8W7C6,F8W7C6_HUMAN,RPL10,60S ribosomal protein L10,1.01E+07,1.31E+07,1.89E+07,1.82E+07,1.39E+07,1.90E+07,1.05E+07,1.92E+07
F8WDQ8;H0YGQ3,F8WDQ8;H0YGQ3,F8WDQ8_HUMAN;H0YGQ3_HUMAN,MPDZ,Multiple PDZ domain protein (Fragment),136640,169591,169404,111959,138463,154543,129648,134222
G5E943,G5E943,G5E943_HUMAN,SLC29A2,Equilibrative nucleoside transporter 2,,220432,,349034,,296568,,295719
G5EA36;I3L328,I3L328;G5EA36,G5EA36_HUMAN;I3L328_HUMAN,CDC27,"Cell division cycle 27, isoform CRA_c",2.75E+06,1.90E+06,2.79E+06,2.07E+06,2.57E+06,2.11E+06,2.59E+06,2.32E+06
H0Y5C6,H0Y5C6,H0Y5C6_HUMAN,FLNA,Filamin-A (Fragment),487015,578899,483909,717735,428486,819834,571250,594269
H0Y6A0,H0Y6A0,H0Y6A0_HUMAN,ARFGAP3,ADP-ribosylation factor GTPase-activating protein 3 (Fragment),271163,418459,533455,308813,512194,391855,409296,
H0Y990,H0Y990,H0Y990_HUMAN,ABCE1,ATP-binding cassette sub-family E member 1 (Fragment),1.45E+06,3.84E+06,2.74E+06,3.18E+06,3.11E+06,3.21E+06,2.84E+06,2.85E+06
H0YC10,H0YC10,H0YC10_HUMAN,PABPC1,Polyadenylate-binding protein 1 (Fragment),1.99E+06,2.19E+06,2.49E+06,2.04E+06,2.05E+06,1.70E+06,2.81E+06,2.20E+06
H0YD48;H0YE97;H0YEF7;H0YEH1;H0YEY8,H0YD48;H0YEF7;H0YEY8;H0YEH1;H0YE97,H0YD48_HUMAN;H0YE97_HUMAN;H0YEF7_HUMAN;H0YEH1_HUMAN;H0YEY8_HUMAN,PICALM,Phosphatidylinositol-binding clathrin assembly protein (Fragment),,,,,1.10E+06,,1.41E+06,1.53E+06
H0YGG4,H0YGG4,H0YGG4_HUMAN,EIF2B1,Translation initiation factor eIF-2B subunit alpha (Fragment),684533,573090,724798,551641,,356604,775817,642817
H3BRK1,H3BRK1,H3BRK1_HUMAN,PARN,Poly(A)-specific ribonuclease PARN (Fragment),,795487,,,,471658,,137069
H3BUF6,H3BUF6,H3BUF6_HUMAN,ATXN2L,Ataxin-2-like protein,1.07E+06,944908,1.10E+06,1.23E+06,1.10E+06,1.52E+06,1.20E+06,1.21E+06
H7BZJ3,H7BZJ3,H7BZJ3_HUMAN,PDIA3,Protein disulfide-isomerase A3 (Fragment),5.66E+07,6.35E+07,8.56E+07,7.71E+07,6.49E+07,7.31E+07,8.14E+07,7.48E+07
H7C0N4,H7C561;H7C0N4,H7C0N4_HUMAN,SF1,Splicing factor 1 (Fragment),1.47E+06,1.36E+06,1.16E+06,1.30E+06,1.17E+06,1.11E+06,1.35E+06,972069
H7C3M7,H7C3M7,H7C3M7_HUMAN,FARP2,"FERM, ARHGEF and pleckstrin domain-containing protein 2 (Fragment)",4.36E+06,3.53E+06,3.81E+06,3.93E+06,2.27E+06,4.49E+06,2.98E+06,4.03E+06
J3KNZ9,J3KNZ9,J3KNZ9_HUMAN,FBRS,Probable fibrosin-1,929387,1.01E+06,1.07E+06,939339,1.23E+06,939563,1.07E+06,998929
K7EIG1,K7EIG1,K7EIG1_HUMAN,CLUH,Clustered mitochondria protein homolog (Fragment),2.23E+06,1.71E+06,2.25E+06,1.06E+06,2.67E+06,1.65E+06,2.28E+06,1.73E+06
K7EJE8;K7EKE6,K7EKE6;K7EJE8,K7EJE8_HUMAN;K7EKE6_HUMAN,LONP1,"Lon protease homolog, mitochondrial",2.93E+06,3.46E+06,2.36E+06,5.07E+06,2.89E+06,3.90E+06,2.30E+06,3.51E+06
K7EKQ2,K7EKQ2,K7EKQ2_HUMAN,CDC37,Hsp90 co-chaperone Cdc37 (Fragment),3.48E+06,4.07E+06,2.68E+06,2.55E+06,3.12E+06,2.08E+06,3.02E+06,3.15E+06
K7ELL7,K7ELL7,K7ELL7_HUMAN,PRKCSH,Glucosidase 2 subunit beta,6.32E+06,6.73E+06,7.27E+06,7.85E+06,1.31E+07,5.98E+06,9.09E+06,6.25E+06
K7EM38,K7EM38,K7EM38_HUMAN,ACTG1,"Actin, cytoplasmic 2 (Fragment)",176968,276953,244812,423250,252413,412345,330737,555554
K7ER90,K7ER90,K7ER90_HUMAN,EIF3G,Eukaryotic translation initiation factor 3 subunit G (Fragment),1.90E+06,1.98E+06,2.96E+06,2.92E+06,2.56E+06,3.17E+06,3.23E+06,3.49E+06
L0R6Q1,L0R6Q1,S35U4_HUMAN,SLC35A4,SLC35A4 upstream open reading frame protein,,,2.07E+06,2.24E+06,1.72E+06,,1.44E+06,
L0R819,L0R819;U3KQP1,ASURF_HUMAN,ASDURF,ASNSD1 upstream open reading frame protein,7.65E+06,7.02E+06,6.84E+06,6.52E+06,7.85E+06,6.06E+06,8.90E+06,7.81E+06
L0R8F8,L0R8F8,MIDUO_HUMAN,MIEF1,MIEF1 upstream open reading frame protein,1.76E+06,1.61E+06,1.59E+06,2.38E+06,1.55E+06,2.25E+06,,1.18E+06
M0QZM1,M0QZM1,M0QZM1_HUMAN,HNRNPM,Heterogeneous nuclear ribonucleoprotein M (Fragment),1.54E+07,1.45E+07,1.71E+07,1.30E+07,1.50E+07,1.67E+07,1.51E+07,1.45E+07
O00115;O00115-2,O00115;O00115-2;K7ENE5,DNS2A_HUMAN,DNASE2,Deoxyribonuclease-2-alpha,3.85E+06,4.49E+06,3.37E+06,4.40E+06,3.33E+06,5.58E+06,3.20E+06,4.73E+06
O00116,O00116;A0A2R8YEL0;A0A7P0T984;A0A7P0TA54;A0A1B0GWA2;A0A7P0T9C9;B7Z3Q4;A0A7P0TAL3;A0A7P0T8Q7;A0A7P0TAU9,ADAS_HUMAN,AGPS,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",1.54E+07,1.20E+07,1.50E+07,1.38E+07,1.63E+07,1.31E+07,1.65E+07,1.12E+07
O00124;O00124-3,O00124;O00124-2;O00124-3;A0A087WT23;A0A087WV67;A0A087WUA4,UBXN8_HUMAN,UBXN8,UBX domain-containing protein 8,1.52E+06,345113,1.74E+06,798244,2.08E+06,812009,1.11E+06,552732
O00139-2,O00139-2;A0A6Q8PFA6;A0A6Q8PH57,KIF2A_HUMAN,KIF2A,Isoform 2 of Kinesin-like protein KIF2A,798199,717223,534889,774880,699961,638547,619295,932913
O00139;O00139-1;O00139-4;O00139-5,O00139;O00139-1;O00139-2;O00139-4;O00139-5;A0A6Q8PGG1;A0A6Q8PGH7;D6R9M0;A0A6Q8PG37;A0A6Q8PFA6;A0A6Q8PH57,KIF2A_HUMAN,KIF2A,Kinesin-like protein KIF2A,1.31E+07,1.26E+07,1.16E+07,1.19E+07,1.28E+07,1.22E+07,1.11E+07,1.13E+07
O00148,O00148;O00148-2;O00148-3;K7EQN7;A0A0D9SEM9,DX39A_HUMAN,DDX39A,ATP-dependent RNA helicase DDX39A,2.66E+07,2.75E+07,2.61E+07,3.40E+07,2.88E+07,2.88E+07,2.72E+07,3.43E+07
O00151,O00151,PDLI1_HUMAN,PDLIM1,PDZ and LIM domain protein 1,6.97E+07,6.75E+07,7.38E+07,6.68E+07,7.17E+07,6.67E+07,7.55E+07,7.00E+07
O00154;O00154-4;O00154-6;O00154-7,O00154;O00154-2;O00154-3;O00154-4;O00154-5;O00154-6;O00154-7;K7EKP8,BACH_HUMAN,ACOT7,Cytosolic acyl coenzyme A thioester hydrolase,1.68E+07,1.95E+07,2.00E+07,2.11E+07,1.92E+07,1.98E+07,2.03E+07,2.29E+07
O00159;O00159-2;O00159-3,O00159;O00159-2;O00159-3;F5H6E2,MYO1C_HUMAN,MYO1C,Unconventional myosin-Ic,3.85E+06,5.14E+06,4.69E+06,4.96E+06,4.70E+06,4.78E+06,4.10E+06,4.66E+06
O00161,O00161;H3BM38;H3BP15;H3BV99;H3BQY9,SNP23_HUMAN,SNAP23,Synaptosomal-associated protein 23,3.05E+06,3.18E+06,4.21E+06,3.55E+06,4.54E+06,3.18E+06,3.08E+06,3.61E+06
O00165;O00165-2;O00165-3,O00165;O00165-2;O00165-3;O00165-5;E9PIQ7,HAX1_HUMAN,HAX1,HCLS1-associated protein X-1,1.22E+07,1.02E+07,1.17E+07,1.18E+07,1.24E+07,1.20E+07,1.18E+07,1.25E+07
O00170,O00170;A0A804HJ38;V9GYQ3;A0A804HJ46;A0A804HKH9;A0A804HKK3;A0A804HIX8;A0A804HKL7;E9PMH2,AIP_HUMAN,AIP,AH receptor-interacting protein,2.14E+07,2.35E+07,2.19E+07,2.34E+07,2.21E+07,2.35E+07,2.38E+07,2.43E+07
O00178,O00178;B0QY59,GTPB1_HUMAN,GTPBP1,GTP-binding protein 1,7.51E+06,7.00E+06,6.80E+06,6.99E+06,6.99E+06,7.19E+06,7.28E+06,7.54E+06
O00186,O00186,STXB3_HUMAN,STXBP3,Syntaxin-binding protein 3,7.55E+06,7.56E+06,7.57E+06,7.47E+06,7.61E+06,7.80E+06,7.87E+06,7.51E+06
O00193,O00193;E9PM92;E9PQA1,SMAP_HUMAN,SMAP,Small acidic protein,1.14E+07,1.29E+07,1.22E+07,1.30E+07,1.45E+07,1.41E+07,1.39E+07,1.28E+07
O00203;O00203-3,O00203;O00203-3;Q13367;Q13367-3;Q13367-4;A0A590UJU7;A0A590UJE5;A0A590UJ60;A0A2R8Y2A8;A0A590UK04;A0A5F9UJV3;A0A590UKC4;A0A590UJU0,AP3B1_HUMAN,AP3B1,AP-3 complex subunit beta-1,1.48E+07,1.37E+07,1.55E+07,1.42E+07,1.39E+07,1.36E+07,1.44E+07,1.47E+07
O00213;O00213-2,O00213;O00213-2;O00213-3;O00213-4;O00213-5;O00213-6;Q92870;Q92870-2;Q92870-4;G5E9Y1;J3KPL8;H0YAJ5;V9GY97;A0A087WYH9;A0A075B7G8;A0A087X0V7,APBB1_HUMAN,APBB1,Amyloid beta precursor protein binding family B member 1,768432,723033,963954,454777,837672,663131,840693,420531
O00217,O00217;F8W9K7;E9PPW7;E9PN51,NDUS8_HUMAN,NDUFS8,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",6.27E+06,7.25E+06,4.90E+06,7.78E+06,5.20E+06,7.41E+06,2.74E+06,6.20E+06
O00221,O00221;H3BNC2;Q7LC14,IKBE_HUMAN,NFKBIE,NF-kappa-B inhibitor epsilon,579713,930538,507716,900308,832832,847410,747039,992843
O00231,O00231;O00231-2;J3QRY4,PSD11_HUMAN,PSMD11,26S proteasome non-ATPase regulatory subunit 11,3.50E+07,3.85E+07,3.28E+07,3.42E+07,3.90E+07,3.35E+07,3.81E+07,3.91E+07
O00232,O00232;O00232-2,PSD12_HUMAN,PSMD12,26S proteasome non-ATPase regulatory subunit 12,1.80E+07,1.81E+07,1.81E+07,1.76E+07,1.85E+07,1.88E+07,1.93E+07,1.90E+07
O00233,O00233;O00233-2;F5H5V4;F5GX23;F5H169;F5H7X1;J3KN29,PSMD9_HUMAN,PSMD9,26S proteasome non-ATPase regulatory subunit 9,2.57E+07,2.48E+07,2.34E+07,2.54E+07,2.21E+07,2.49E+07,2.59E+07,2.22E+07
O00244,O00244;E5RIM7;E5RGN3,ATOX1_HUMAN,ATOX1,Copper transport protein ATOX1,1.81E+07,1.67E+07,1.96E+07,1.69E+07,2.19E+07,1.50E+07,1.71E+07,1.48E+07
O00255-2;O00255-3,O00255;O00255-2;O00255-3;A0A5F9ZHS3;A0A8C8KI72;E7EN32,MEN1_HUMAN,MEN1,Isoform 2 of Menin,3.09E+06,2.47E+06,3.46E+06,2.04E+06,3.05E+06,2.49E+06,3.84E+06,2.43E+06
O00257,O00257;O00257-3;F8WCW6,CBX4_HUMAN,CBX4,E3 SUMO-protein ligase CBX4,1.32E+06,2.17E+06,1.78E+06,1.74E+06,1.71E+06,1.91E+06,1.78E+06,1.93E+06
O00264,O00264;O00264-2,PGRC1_HUMAN,PGRMC1,Membrane-associated progesterone receptor component 1,4.01E+07,3.11E+07,3.64E+07,3.99E+07,3.86E+07,3.52E+07,2.80E+07,2.72E+07
O00267,O00267;O00267-2,SPT5H_HUMAN,SUPT5H,Transcription elongation factor SPT5,1.33E+07,1.46E+07,1.39E+07,1.47E+07,1.32E+07,1.44E+07,1.41E+07,1.58E+07
O00268,O00268;A0A0G2JRY5,TAF4_HUMAN,TAF4,Transcription initiation factor TFIID subunit 4,2.45E+06,2.40E+06,2.56E+06,2.57E+06,2.46E+06,2.61E+06,2.59E+06,3.01E+06
O00273,O00273,DFFA_HUMAN,DFFA,DNA fragmentation factor subunit alpha,1.26E+07,1.41E+07,1.18E+07,1.27E+07,1.34E+07,1.29E+07,1.20E+07,1.40E+07
O00287,O00287,RFXAP_HUMAN,RFXAP,Regulatory factor X-associated protein,426633,471659,379081,497415,424578,579628,453857,431144
O00291;O00291-3;O00291-4,O00291;O00291-3;O00291-4,HIP1_HUMAN,HIP1,Huntingtin-interacting protein 1,2.05E+06,1.84E+06,2.26E+06,2.47E+06,2.25E+06,2.32E+06,2.68E+06,2.42E+06
O00299,O00299,CLIC1_HUMAN,CLIC1,Chloride intracellular channel protein 1,7.92E+07,9.33E+07,7.02E+07,9.25E+07,7.84E+07,1.02E+08,7.41E+07,9.55E+07
O00303,O00303;H0YDT6,EIF3F_HUMAN,EIF3F,Eukaryotic translation initiation factor 3 subunit F,4.60E+07,4.58E+07,3.48E+07,3.76E+07,3.56E+07,3.46E+07,3.19E+07,4.06E+07
O00311,O00311,CDC7_HUMAN,CDC7,Cell division cycle 7-related protein kinase,591621,838427,864033,1.01E+06,826719,713661,800833,865278
O00330;O00330-3,O00330;O00330-3;H0YD97;A0A8C8MSB2,ODPX_HUMAN,PDHX,"Pyruvate dehydrogenase protein X component, mitochondrial",3.23E+06,4.09E+06,3.49E+06,5.24E+06,4.64E+06,4.74E+06,2.20E+06,3.89E+06
O00399,O00399,DCTN6_HUMAN,DCTN6,Dynactin subunit 6,2.79E+06,3.18E+06,2.02E+06,2.21E+06,2.89E+06,2.71E+06,3.10E+06,4.04E+06
O00401,O00401,WASL_HUMAN,WASL,Neural Wiskott-Aldrich syndrome protein,4.53E+06,4.04E+06,4.51E+06,5.15E+06,6.13E+06,4.26E+06,5.20E+06,4.69E+06
O00410,O00410;O00410-2;O00410-3;H0Y8C6,IPO5_HUMAN,IPO5,Importin-5,9.04E+07,8.40E+07,9.55E+07,8.28E+07,9.37E+07,8.38E+07,9.77E+07,9.06E+07
O00411,O00411,RPOM_HUMAN,POLRMT,"DNA-directed RNA polymerase, mitochondrial",2.04E+06,1.96E+06,2.08E+06,2.27E+06,2.49E+06,2.18E+06,1.59E+06,1.55E+06
O00418,O00418,EF2K_HUMAN,EEF2K,Eukaryotic elongation factor 2 kinase,1.59E+06,1.85E+06,1.90E+06,1.89E+06,1.57E+06,1.99E+06,1.77E+06,1.70E+06
O00422-2,O00422;O00422-2;U3KPY7;U3KQ12,SAP18_HUMAN,SAP18,Isoform 2 of Histone deacetylase complex subunit SAP18,3.91E+07,3.72E+07,3.60E+07,3.55E+07,2.95E+07,3.43E+07,3.15E+07,3.49E+07
O00423;O00423-3,O00423;O00423-3;A0A3B3IU69;F8W717,EMAL1_HUMAN,EML1,Echinoderm microtubule-associated protein-like 1,1.45E+06,1.21E+06,1.01E+06,1.31E+06,1.20E+06,1.20E+06,707235,1.24E+06
O00425,O00425;O00425-2,IF2B3_HUMAN,IGF2BP3,Insulin-like growth factor 2 mRNA-binding protein 3,1.80E+07,2.07E+07,1.70E+07,1.92E+07,1.73E+07,1.90E+07,1.78E+07,2.05E+07
O00429-2,O00429;O00429-2;O00429-3;O00429-4;O00429-5;O00429-6;O00429-7;O00429-8;O00429-9,DNM1L_HUMAN,DNM1L,Isoform 4 of Dynamin-1-like protein,1.43E+07,1.72E+07,1.33E+07,1.71E+07,1.37E+07,1.70E+07,1.37E+07,1.77E+07
O00442,O00442;O00442-2;A6NIC1,RTCA_HUMAN,RTCA,RNA 3'-terminal phosphate cyclase,1.26E+07,1.58E+07,1.10E+07,1.51E+07,1.35E+07,1.44E+07,1.19E+07,1.47E+07
O00443,O00443,P3C2A_HUMAN,PIK3C2A,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha,3.00E+06,2.25E+06,2.82E+06,2.30E+06,2.76E+06,2.21E+06,2.63E+06,2.31E+06
O00458,O00458;O00458-2;A0A6Q8PHD2;H0YEE3,IFRD1_HUMAN,IFRD1,Interferon-related developmental regulator 1,459135,3.33E+06,754417,3.21E+06,754986,3.27E+06,,4.90E+06
O00459,O00459;E9PFP1,P85B_HUMAN,PIK3R2,Phosphatidylinositol 3-kinase regulatory subunit beta,1.42E+06,,2.07E+06,747296,,1.03E+06,1.25E+06,
O00461,O00461;F8W785,GOLI4_HUMAN,GOLIM4,Golgi integral membrane protein 4,4.54E+06,3.71E+06,5.60E+06,4.51E+06,5.86E+06,3.66E+06,4.84E+06,3.54E+06
O00468;O00468-3;O00468-4;O00468-5;O00468-6;O00468-7,O00468;O00468-2;O00468-3;O00468-4;O00468-5;O00468-6;O00468-7;A0A494C1I6;A0A087X208;A0A494C0G5,AGRIN_HUMAN,AGRN,Agrin,312835,,394363,,387346,,289746,
O00469-2,O00469;O00469-2;E7ETU9;C9JXZ0,PLOD2_HUMAN,PLOD2,"Isoform 2 of Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",1.03E+07,8.85E+06,9.97E+06,1.04E+07,1.00E+07,9.02E+06,9.51E+06,8.60E+06
O00470;O00470-2,O14770;O14770-2;O14770-3;O14770-4;O14770-5;O14770-6;O14770-7;O14770-8;O00470;O00470-2;H0YNY8;H0YMX5;U3KPR8;F5GYS8,MEIS1_HUMAN,MEIS1,Homeobox protein Meis1,403170,399683,,,,,,
O00471,O00471;A0A0A0MSI8;F8W9B8,EXOC5_HUMAN,EXOC5,Exocyst complex component 5,3.50E+06,3.82E+06,4.03E+06,3.43E+06,3.41E+06,3.75E+06,3.79E+06,3.57E+06
O00483,O00483,NDUA4_HUMAN,NDUFA4,Cytochrome c oxidase subunit NDUFA4,9.40E+06,9.37E+06,8.47E+06,1.02E+07,1.15E+07,7.76E+06,7.99E+06,5.89E+06
O00487,O00487,PSDE_HUMAN,PSMD14,26S proteasome non-ATPase regulatory subunit 14,4.15E+07,4.82E+07,3.87E+07,4.84E+07,3.67E+07,4.65E+07,3.42E+07,4.40E+07
O00488,O00488;A9J4F5,ZN593_HUMAN,ZNF593,Zinc finger protein 593,5.19E+06,1.86E+06,6.28E+06,1.82E+06,5.58E+06,1.89E+06,5.30E+06,1.90E+06
O00499-10;O00499-11;O00499-2;O00499-4;O00499-6;O00499-7;O00499-8;O00499-9,O00499;O00499-2;O00499-3;O00499-4;O00499-5;O00499-6;O00499-7;O00499-8;O00499-9;O00499-10;O00499-11,BIN1_HUMAN,BIN1,Isoform BIN1-13 of Myc box-dependent-interacting protein 1,,1.70E+06,1.85E+06,1.83E+06,1.63E+06,1.96E+06,1.66E+06,
O00505,O00505,IMA4_HUMAN,KPNA3,Importin subunit alpha-4,4.58E+07,4.45E+07,4.75E+07,4.69E+07,5.13E+07,4.59E+07,5.11E+07,4.66E+07
O00506,O00506;E7EM58;C9JFA1;C9JN58,STK25_HUMAN,STK25,Serine/threonine-protein kinase 25,2.61E+06,2.03E+06,2.62E+06,1.95E+06,2.34E+06,1.94E+06,3.06E+06,2.28E+06
O00507-2,O00507;O00507-2,USP9Y_HUMAN,USP9Y,Isoform Short of Probable ubiquitin carboxyl-terminal hydrolase FAF-Y,3.47E+06,2.49E+06,1.83E+06,3.63E+06,3.47E+06,3.65E+06,3.57E+06,4.06E+06
O00512,O00512;A0A804HI55;A0A804HIV1,BCL9_HUMAN,BCL9,B-cell CLL/lymphoma 9 protein,1.81E+06,1.90E+06,2.12E+06,1.82E+06,2.13E+06,2.00E+06,2.05E+06,2.24E+06
O00541;O00541-2,O00541;O00541-2;B5MCF9,PESC_HUMAN,PES1,Pescadillo homolog,1.48E+07,1.37E+07,1.62E+07,1.48E+07,1.68E+07,1.54E+07,1.57E+07,1.44E+07
O00560-2,O00560-2;G5EA09,SDCB1_HUMAN,SDCBP,Isoform 2 of Syntenin-1,1.77E+06,2.28E+06,2.59E+06,1.49E+06,2.14E+06,1.08E+06,1.71E+06,1.53E+06
O00560;O00560-3,O00560;O00560-2;O00560-3;G5EA09;B4DHN5;E9PBU7,SDCB1_HUMAN,SDCBP,Syntenin-1,8.32E+06,6.37E+06,8.67E+06,6.06E+06,9.98E+06,5.98E+06,7.28E+06,7.87E+06
O00566,O00566;U3KQ48,MPP10_HUMAN,MPHOSPH10,U3 small nucleolar ribonucleoprotein protein MPP10,6.08E+06,7.41E+06,5.57E+06,6.95E+06,6.44E+06,6.60E+06,5.94E+06,7.13E+06
O00567,O00567;A0A494C128;H0YDU4;H0Y653,NOP56_HUMAN,NOP56,Nucleolar protein 56,1.68E+07,1.30E+07,1.66E+07,1.52E+07,1.50E+07,1.45E+07,1.45E+07,1.69E+07
O00571,O15523;O15523-2;O15523-3;O00571;O00571-2;A0A2R8YF78;A0A2R8Y7T2;F6S8Q4;C9J8G5;A0A2R8YCW1;A0A2R8Y4D2;A0A2R8Y645;A0A2U3TZJ9;A0A2R8Y4A4;A0A2R8YFR4;A0A2R8Y5G6;A0A0D9SG12;A0A0D9SF53;A0A0D9SFB3;A0A2R8YFS5;A0A2R8YDT5;C9J081;A0A2R8YDH3,DDX3X_HUMAN,DDX3X,ATP-dependent RNA helicase DDX3X,3.08E+08,2.78E+08,2.81E+08,2.83E+08,2.90E+08,2.75E+08,2.65E+08,2.88E+08
O00584,O00584;O00584-2;A0A804HJ89;H0YAE9;D6RHI9;D6REQ6,RNT2_HUMAN,RNASET2,Ribonuclease T2,3.39E+06,4.08E+06,3.37E+06,4.07E+06,3.92E+06,4.19E+06,3.45E+06,3.74E+06
O00625,O00625,PIR_HUMAN,PIR,Pirin,4.29E+06,3.88E+06,4.57E+06,4.58E+06,4.28E+06,3.87E+06,5.18E+06,3.87E+06
O00629,O00629;H7C4F6;A0A7I2V340;A0A7I2V333;A0A7I2YQ95,IMA3_HUMAN,KPNA4,Importin subunit alpha-3,1.25E+07,1.39E+07,1.24E+07,1.35E+07,1.41E+07,1.43E+07,1.42E+07,1.44E+07
O00712;O00712-4;O00712-5,O00712;O00712-4;O00712-5;O00712-6;Q5VW31;A0A1B0GWJ4;A0A1B0GVN4;A0A0A0MRX8;A0A1B0GU97;A0A2R8Y7V8;A0A1B0GWI9;A0A1B0GW37;Q5VW30;Q5VW27;A0A1B0GWB8;U3KQE8;Q5VW26,NFIB_HUMAN,NFIB,Nuclear factor 1 B-type,,849219,376658,573718,417460,610789,273257,669574
O00716,O00716;O00716-2,E2F3_HUMAN,E2F3,Transcription factor E2F3,691679,857613,839302,971983,807060,1.34E+06,1.14E+06,1.14E+06
O00743;O00743-2;O00743-3,O00743;O00743-2;O00743-3,PPP6_HUMAN,PPP6C,Serine/threonine-protein phosphatase 6 catalytic subunit,6.74E+06,7.08E+06,5.65E+06,6.91E+06,5.42E+06,6.72E+06,5.81E+06,5.41E+06
O00754;O00754-2,O00754;O00754-2;M0QZ24,MA2B1_HUMAN,MAN2B1,Lysosomal alpha-mannosidase,2.94E+06,1.27E+06,2.63E+06,1.57E+06,3.15E+06,1.30E+06,3.08E+06,1.59E+06
O00762,O00762;O00762-2;O00762-3;O00762-4;A0A087WVK1,UBE2C_HUMAN,UBE2C,Ubiquitin-conjugating enzyme E2 C,1.52E+07,4.58E+06,1.23E+07,4.04E+06,1.25E+07,3.83E+06,1.32E+07,3.34E+06
O00764,O00764;O00764-3;F2Z2Y4,PDXK_HUMAN,PDXK,Pyridoxal kinase,2.12E+07,2.63E+07,2.00E+07,2.58E+07,1.98E+07,2.58E+07,2.00E+07,2.57E+07
O00767,O00767,SCD_HUMAN,SCD,Stearoyl-CoA desaturase,2.14E+06,,2.18E+06,,2.71E+06,,2.15E+06,
O14497,O14497;O14497-2;O14497-3;H0YCU6;A0A087WUV6;A0A1B0GTU5;H0Y488,ARI1A_HUMAN,ARID1A,AT-rich interactive domain-containing protein 1A,8.23E+06,8.92E+06,8.26E+06,8.99E+06,8.55E+06,8.48E+06,9.30E+06,8.77E+06
O14519;O14519-2,O14519;O14519-2;F5GZF0,CDKA1_HUMAN,CDK2AP1,Cyclin-dependent kinase 2-associated protein 1,,1.02E+06,1.41E+06,,456941,1.12E+06,918386,511848
O14530;O14530-2,O14530;O14530-2;F8WCJ3;B8ZZX4;G3XAJ4;F8WBV5,TXND9_HUMAN,TXNDC9,Thioredoxin domain-containing protein 9,1.53E+07,1.08E+07,1.55E+07,1.05E+07,1.30E+07,1.05E+07,1.45E+07,1.07E+07
O14545,O14545,TRAD1_HUMAN,TRAFD1,TRAF-type zinc finger domain-containing protein 1,841882,922996,1.20E+06,850407,1.04E+06,864133,1.13E+06,852697
O14561,O14561;H3BNK3,ACPM_HUMAN,NDUFAB1,"Acyl carrier protein, mitochondrial",1.05E+07,1.71E+07,9.38E+06,1.68E+07,1.91E+07,1.72E+07,1.25E+07,1.22E+07
O14562,O14562;H3BRL3,UBFD1_HUMAN,UBFD1,Ubiquitin domain-containing protein UBFD1,1.72E+07,2.01E+07,1.84E+07,1.96E+07,1.75E+07,1.87E+07,1.92E+07,2.03E+07
O14578;O14578-4,O14578;O14578-3;O14578-4;A0A7I2V4H7;A0A7I2V4A6;A0A7I2V4I0;H7BYJ3;A0A7I2V692,CTRO_HUMAN,CIT,Citron Rho-interacting kinase,1.63E+06,1.34E+06,1.75E+06,1.44E+06,1.72E+06,1.41E+06,1.77E+06,1.40E+06
O14579,O14579;O14579-2;M0QXB4,COPE_HUMAN,COPE,Coatomer subunit epsilon,1.14E+07,1.27E+07,1.16E+07,1.19E+07,1.28E+07,1.25E+07,1.19E+07,1.29E+07
O14593;O14593-2;O14593-3,O14593;O14593-2;O14593-3;F5GY33;H0YGQ6;A0A024R7P0,RFXK_HUMAN,RFXANK,DNA-binding protein RFXANK,,141467,143430,287160,,152924,177100,138407
